type,job,job_require,course_acquire,course,path
single_hop_synonym,Backend (Travel) #1,Computer Science,Computer Science,SF220,"['Backend (Travel) #1', 'require>', 'Computer Science', 'include<', 'SF220']"
single_hop_synonym,Backend (Travel) #1,Deployment,Deployment,SF222,"['Backend (Travel) #1', 'require>', 'Deployment', 'include<', 'SF222']"
single_hop_synonym,Backend (Travel) #1,Deployment,Deployment,SF220,"['Backend (Travel) #1', 'require>', 'Deployment', 'include<', 'SF220']"
single_hop_synonym,Backend (Travel) #1,Git,Git,SF222,"['Backend (Travel) #1', 'require>', 'Git', 'include<', 'SF222']"
single_hop_synonym,Backend (Travel) #1,Git,Git,CN310,"['Backend (Travel) #1', 'require>', 'Git', 'include<', 'CN310']"
single_hop_synonym,Backend (Travel) #1,Object-Oriented Programming,Object-Oriented Programming,SF212,"['Backend (Travel) #1', 'require>', 'Object-Oriented Programming', 'include<', 'SF212']"
single_hop_synonym,Backend (Travel) #1,Object-Oriented Programming,Object-Oriented Programming,SF211,"['Backend (Travel) #1', 'require>', 'Object-Oriented Programming', 'include<', 'SF211']"
single_hop_synonym,Backend (Travel) #1,Communications,Communications,CN311,"['Backend (Travel) #1', 'require>', 'Communications', 'include<', 'CN311']"
single_hop_synonym,Backend (Travel) #1,APIs,APIs,SF211,"['Backend (Travel) #1', 'require>', 'APIs', 'include<', 'SF211']"
single_hop_synonym,Backend (FinTech) #2,Microservices,Microservices,CN310,"['Backend (FinTech) #2', 'require>', 'Microservices', 'include<', 'CN310']"
single_hop_synonym,Backend (FinTech) #2,PostgreSQL,PostgreSQL,SF230,"['Backend (FinTech) #2', 'require>', 'PostgreSQL', 'include<', 'SF230']"
single_hop_synonym,Backend (FinTech) #2,PostgreSQL,PostgreSQL,CN310,"['Backend (FinTech) #2', 'require>', 'PostgreSQL', 'include<', 'CN310']"
single_hop_synonym,Backend (FinTech) #2,SQL,SQL,CN351,"['Backend (FinTech) #2', 'require>', 'SQL', 'include<', 'CN351']"
single_hop_synonym,Backend (FinTech) #2,SQL,SQL,SF220,"['Backend (FinTech) #2', 'require>', 'SQL', 'include<', 'SF220']"
single_hop_synonym,Backend (FinTech) #2,SQL,SQL,SF230,"['Backend (FinTech) #2', 'require>', 'SQL', 'include<', 'SF230']"
single_hop_synonym,Backend (FinTech) #2,API,API,SF230,"['Backend (FinTech) #2', 'require>', 'API', 'include<', 'SF230']"
single_hop_synonym,Backend (FinTech) #2,API,API,SF220,"['Backend (FinTech) #2', 'require>', 'API', 'include<', 'SF220']"
single_hop_synonym,Backend (FinTech) #2,API,API,SF211,"['Backend (FinTech) #2', 'require>', 'API', 'include<', 'SF211']"
single_hop_synonym,Backend (FinTech) #2,API,API,CN351,"['Backend (FinTech) #2', 'require>', 'API', 'include<', 'CN351']"
single_hop_synonym,Backend (FinTech) #2,Java,Java,CN311,"['Backend (FinTech) #2', 'require>', 'Java', 'include<', 'CN311']"
single_hop_synonym,Backend (FinTech) #2,Java,Java,SF212,"['Backend (FinTech) #2', 'require>', 'Java', 'include<', 'SF212']"
single_hop_synonym,Backend (FinTech) #2,Java,Java,SF211,"['Backend (FinTech) #2', 'require>', 'Java', 'include<', 'SF211']"
single_hop_synonym,Backend (Travel) #2,Version Control Systems,Version Control Systems,CN310,"['Backend (Travel) #2', 'require>', 'Version Control Systems', 'include<', 'CN310']"
single_hop_synonym,Backend (Travel) #2,Databases,Databases,SF220,"['Backend (Travel) #2', 'require>', 'Databases', 'include<', 'SF220']"
single_hop_synonym,Backend (Travel) #2,SQL,SQL,CN351,"['Backend (Travel) #2', 'require>', 'SQL', 'include<', 'CN351']"
single_hop_synonym,Backend (Travel) #2,SQL,SQL,SF220,"['Backend (Travel) #2', 'require>', 'SQL', 'include<', 'SF220']"
single_hop_synonym,Backend (Travel) #2,SQL,SQL,SF230,"['Backend (Travel) #2', 'require>', 'SQL', 'include<', 'SF230']"
single_hop_synonym,Backend (Travel) #2,Java,Java,CN311,"['Backend (Travel) #2', 'require>', 'Java', 'include<', 'CN311']"
single_hop_synonym,Backend (Travel) #2,Java,Java,SF212,"['Backend (Travel) #2', 'require>', 'Java', 'include<', 'SF212']"
single_hop_synonym,Backend (Travel) #2,Java,Java,SF211,"['Backend (Travel) #2', 'require>', 'Java', 'include<', 'SF211']"
single_hop_synonym,Backend (Travel) #2,JavaScript,JavaScript,CN351,"['Backend (Travel) #2', 'require>', 'JavaScript', 'include<', 'CN351']"
single_hop_synonym,Backend (Travel) #2,JavaScript,JavaScript,SF220,"['Backend (Travel) #2', 'require>', 'JavaScript', 'include<', 'SF220']"
single_hop_synonym,Backend (Travel) #2,Python,Python,SF230,"['Backend (Travel) #2', 'require>', 'Python', 'include<', 'SF230']"
single_hop_synonym,Backend (Travel) #2,Python,Python,SF210,"['Backend (Travel) #2', 'require>', 'Python', 'include<', 'SF210']"
single_hop_synonym,Backend (Travel) #2,Python,Python,CN311,"['Backend (Travel) #2', 'require>', 'Python', 'include<', 'CN311']"
single_hop_synonym,Backend (Travel) #2,Git,Git,SF222,"['Backend (Travel) #2', 'require>', 'Git', 'include<', 'SF222']"
single_hop_synonym,Backend (Travel) #2,Git,Git,CN310,"['Backend (Travel) #2', 'require>', 'Git', 'include<', 'CN310']"
single_hop_synonym,Backend (Travel) #2,Software Development,Software Development,SF220,"['Backend (Travel) #2', 'require>', 'Software Development', 'include<', 'SF220']"
single_hop_synonym,Backend (Travel) #2,Software Development,Software Development,SF222,"['Backend (Travel) #2', 'require>', 'Software Development', 'include<', 'SF222']"
single_hop_synonym,Backend (Travel) #2,Software Development,Software Development,SF230,"['Backend (Travel) #2', 'require>', 'Software Development', 'include<', 'SF230']"
single_hop_synonym,Backend (Travel) #2,Software Development,Software Development,SF210,"['Backend (Travel) #2', 'require>', 'Software Development', 'include<', 'SF210']"
single_hop_synonym,Backend (Travel) #2,Communications,Communications,CN311,"['Backend (Travel) #2', 'require>', 'Communications', 'include<', 'CN311']"
single_hop_synonym,Backend (Travel) #2,APIs,APIs,SF211,"['Backend (Travel) #2', 'require>', 'APIs', 'include<', 'SF211']"
single_hop_synonym,Infra (Travel) #1,Virtualization,Virtualization,CN351,"['Infra (Travel) #1', 'require>', 'Virtualization', 'include<', 'CN351']"
single_hop_synonym,Infra (Travel) #1,Virtualization,Virtualization,CN310,"['Infra (Travel) #1', 'require>', 'Virtualization', 'include<', 'CN310']"
single_hop_synonym,Infra (Travel) #1,Kubernetes,Kubernetes,CN310,"['Infra (Travel) #1', 'require>', 'Kubernetes', 'include<', 'CN310']"
single_hop_synonym,Infra (Travel) #1,Reliability,Reliability,SF230,"['Infra (Travel) #1', 'require>', 'Reliability', 'include<', 'SF230']"
single_hop_synonym,Infra (Travel) #1,Automation,Automation,SF222,"['Infra (Travel) #1', 'require>', 'Automation', 'include<', 'SF222']"
single_hop_synonym,Infra (Travel) #1,Computer Science,Computer Science,SF220,"['Infra (Travel) #1', 'require>', 'Computer Science', 'include<', 'SF220']"
single_hop_synonym,Infra (Travel) #1,Programming,Programming,SF210,"['Infra (Travel) #1', 'require>', 'Programming', 'include<', 'SF210']"
single_hop_synonym,Infra (Travel) #1,Programming,Programming,SF220,"['Infra (Travel) #1', 'require>', 'Programming', 'include<', 'SF220']"
single_hop_synonym,Infra (Travel) #1,Python,Python,SF230,"['Infra (Travel) #1', 'require>', 'Python', 'include<', 'SF230']"
single_hop_synonym,Infra (Travel) #1,Python,Python,SF210,"['Infra (Travel) #1', 'require>', 'Python', 'include<', 'SF210']"
single_hop_synonym,Infra (Travel) #1,Python,Python,CN311,"['Infra (Travel) #1', 'require>', 'Python', 'include<', 'CN311']"
single_hop_synonym,Infra (Travel) #1,Git,Git,SF222,"['Infra (Travel) #1', 'require>', 'Git', 'include<', 'SF222']"
single_hop_synonym,Infra (Travel) #1,Git,Git,CN310,"['Infra (Travel) #1', 'require>', 'Git', 'include<', 'CN310']"
single_hop_synonym,Infra (Travel) #1,Docker,Docker,SF230,"['Infra (Travel) #1', 'require>', 'Docker', 'include<', 'SF230']"
single_hop_synonym,Infra (Travel) #1,Docker,Docker,CN310,"['Infra (Travel) #1', 'require>', 'Docker', 'include<', 'CN310']"
single_hop_synonym,QA (MedTech) #1,API Testing,API Testing,CN351,"['QA (MedTech) #1', 'require>', 'API Testing', 'include<', 'CN351']"
single_hop_synonym,QA (MedTech) #1,RabbitMQ,RabbitMQ,SF222,"['QA (MedTech) #1', 'require>', 'RabbitMQ', 'include<', 'SF222']"
single_hop_synonym,QA (MedTech) #1,MongoDB,MongoDB,CN351,"['QA (MedTech) #1', 'require>', 'MongoDB', 'include<', 'CN351']"
single_hop_synonym,QA (MedTech) #1,PostgreSQL,PostgreSQL,SF230,"['QA (MedTech) #1', 'require>', 'PostgreSQL', 'include<', 'SF230']"
single_hop_synonym,QA (MedTech) #1,PostgreSQL,PostgreSQL,CN310,"['QA (MedTech) #1', 'require>', 'PostgreSQL', 'include<', 'CN310']"
single_hop_synonym,Fullstack (FinTech) #2,Scrum,Scrum,SF220,"['Fullstack (FinTech) #2', 'require>', 'Scrum', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #2,SQL,SQL,CN351,"['Fullstack (FinTech) #2', 'require>', 'SQL', 'include<', 'CN351']"
single_hop_synonym,Fullstack (FinTech) #2,SQL,SQL,SF220,"['Fullstack (FinTech) #2', 'require>', 'SQL', 'include<', 'SF220']"
single_hop_synonym,Fullstack (FinTech) #2,SQL,SQL,SF230,"['Fullstack (FinTech) #2', 'require>', 'SQL', 'include<', 'SF230']"
single_hop_synonym,Fullstack (FinTech) #2,Java,Java,CN311,"['Fullstack (FinTech) #2', 'require>', 'Java', 'include<', 'CN311']"
single_hop_synonym,Fullstack (FinTech) #2,Java,Java,SF212,"['Fullstack (FinTech) #2', 'require>', 'Java', 'include<', 'SF212']"
single_hop_synonym,Fullstack (FinTech) #2,Java,Java,SF211,"['Fullstack (FinTech) #2', 'require>', 'Java', 'include<', 'SF211']"
single_hop_synonym,Fullstack (Bank) #1,Apache,Apache,CN310,"['Fullstack (Bank) #1', 'require>', 'Apache', 'include<', 'CN310']"
single_hop_synonym,Fullstack (Bank) #1,Git,Git,SF222,"['Fullstack (Bank) #1', 'require>', 'Git', 'include<', 'SF222']"
single_hop_synonym,Fullstack (Bank) #1,Git,Git,CN310,"['Fullstack (Bank) #1', 'require>', 'Git', 'include<', 'CN310']"
single_hop_synonym,Fullstack (Bank) #1,JSON,JSON,SF220,"['Fullstack (Bank) #1', 'require>', 'JSON', 'include<', 'SF220']"
