type,job,job_require,skill,path
single_hop_synonym,Backend (Travel) #1,English Communication,English Communication,"['Backend (Travel) #1', 'require>', 'English Communication']"
single_hop_synonym,Backend (Travel) #1,Data Requirements,Data Requirements,"['Backend (Travel) #1', 'require>', 'Data Requirements']"
single_hop_synonym,Backend (Travel) #1,System Scaling,System Scaling,"['Backend (Travel) #1', 'require>', 'System Scaling']"
single_hop_synonym,Backend (Travel) #1,Computer Science,Computer Science,"['Backend (Travel) #1', 'require>', 'Computer Science']"
single_hop_synonym,Backend (Travel) #1,Deployment,Deployment,"['Backend (Travel) #1', 'require>', 'Deployment']"
single_hop_synonym,Backend (Travel) #1,Continuous Integration,Continuous Integration,"['Backend (Travel) #1', 'require>', 'Continuous Integration']"
single_hop_synonym,Backend (Travel) #1,Puppet,Puppet,"['Backend (Travel) #1', 'require>', 'Puppet']"
single_hop_synonym,Backend (Travel) #1,TeamCity,TeamCity,"['Backend (Travel) #1', 'require>', 'TeamCity']"
single_hop_synonym,Backend (Travel) #1,Git,Git,"['Backend (Travel) #1', 'require>', 'Git']"
single_hop_synonym,Backend (Travel) #1,Hadoop,Hadoop,"['Backend (Travel) #1', 'require>', 'Hadoop']"
single_hop_synonym,Backend (Travel) #1,Cassandra,Cassandra,"['Backend (Travel) #1', 'require>', 'Cassandra']"
single_hop_synonym,Backend (Travel) #1,MS SQL,MS SQL,"['Backend (Travel) #1', 'require>', 'MS SQL']"
single_hop_synonym,Backend (Travel) #1,Non-Relational Databases,Non-Relational Databases,"['Backend (Travel) #1', 'require>', 'Non-Relational Databases']"
single_hop_synonym,Backend (Travel) #1,Relational Databases,Relational Databases,"['Backend (Travel) #1', 'require>', 'Relational Databases']"
single_hop_synonym,Backend (Travel) #1,Functional Programming,Functional Programming,"['Backend (Travel) #1', 'require>', 'Functional Programming']"
single_hop_synonym,Backend (Travel) #1,Object-Oriented Programming,Object-Oriented Programming,"['Backend (Travel) #1', 'require>', 'Object-Oriented Programming']"
single_hop_synonym,Backend (Travel) #1,Codebase,Codebase,"['Backend (Travel) #1', 'require>', 'Codebase']"
single_hop_synonym,Backend (Travel) #1,Back End,Back End,"['Backend (Travel) #1', 'require>', 'Back End']"
single_hop_synonym,Backend (Travel) #1,Full Stack,Full Stack,"['Backend (Travel) #1', 'require>', 'Full Stack']"
single_hop_synonym,Backend (Travel) #1,Agile Development,Agile Development,"['Backend (Travel) #1', 'require>', 'Agile Development']"
single_hop_synonym,Backend (Travel) #1,Spark,Spark,"['Backend (Travel) #1', 'require>', 'Spark']"
single_hop_synonym,Backend (Travel) #1,Kafka,Kafka,"['Backend (Travel) #1', 'require>', 'Kafka']"
single_hop_synonym,Backend (Travel) #1,C#,C#,"['Backend (Travel) #1', 'require>', 'C#']"
single_hop_synonym,Backend (Travel) #1,Scala,Scala,"['Backend (Travel) #1', 'require>', 'Scala']"
single_hop_synonym,Backend (Travel) #1,Self-Healing Systems,Self-Healing Systems,"['Backend (Travel) #1', 'require>', 'Self-Healing Systems']"
single_hop_synonym,Backend (Travel) #1,Testing Techniques,Testing Techniques,"['Backend (Travel) #1', 'require>', 'Testing Techniques']"
single_hop_synonym,Backend (Travel) #1,CI/CD,CI/CD,"['Backend (Travel) #1', 'require>', 'CI/CD']"
single_hop_synonym,Backend (Travel) #1,Payments,Payments,"['Backend (Travel) #1', 'require>', 'Payments']"
single_hop_synonym,Backend (Travel) #1,Booking Systems,Booking Systems,"['Backend (Travel) #1', 'require>', 'Booking Systems']"
single_hop_synonym,Backend (Travel) #1,Partner Data,Partner Data,"['Backend (Travel) #1', 'require>', 'Partner Data']"
single_hop_synonym,Backend (Travel) #1,Communications,Communications,"['Backend (Travel) #1', 'require>', 'Communications']"
single_hop_synonym,Backend (Travel) #1,Customer Data,Customer Data,"['Backend (Travel) #1', 'require>', 'Customer Data']"
single_hop_synonym,Backend (Travel) #1,Product Information,Product Information,"['Backend (Travel) #1', 'require>', 'Product Information']"
single_hop_synonym,Backend (Travel) #1,Inventory and Pricing,Inventory and Pricing,"['Backend (Travel) #1', 'require>', 'Inventory and Pricing']"
single_hop_synonym,Backend (Travel) #1,APIs,APIs,"['Backend (Travel) #1', 'require>', 'APIs']"
single_hop_synonym,Backend (Travel) #1,Fault-Tolerant Systems,Fault-Tolerant Systems,"['Backend (Travel) #1', 'require>', 'Fault-Tolerant Systems']"
single_hop_synonym,Backend (Travel) #1,Scalable Systems,Scalable Systems,"['Backend (Travel) #1', 'require>', 'Scalable Systems']"
single_hop_synonym,Backend (Travel) #1,Back End Engineering,Back End Engineering,"['Backend (Travel) #1', 'require>', 'Back End Engineering']"
single_hop_synonym,Backend (FinTech) #2,DevOps,DevOps,"['Backend (FinTech) #2', 'require>', 'DevOps']"
single_hop_synonym,Backend (FinTech) #2,Financial Services,Financial Services,"['Backend (FinTech) #2', 'require>', 'Financial Services']"
single_hop_synonym,Backend (FinTech) #2,Banking,Banking,"['Backend (FinTech) #2', 'require>', 'Banking']"
single_hop_synonym,Backend (FinTech) #2,Unit Test,Unit Test,"['Backend (FinTech) #2', 'require>', 'Unit Test']"
single_hop_synonym,Backend (FinTech) #2,Jenkins,Jenkins,"['Backend (FinTech) #2', 'require>', 'Jenkins']"
single_hop_synonym,Backend (FinTech) #2,CI/CD Pipelines,CI/CD Pipelines,"['Backend (FinTech) #2', 'require>', 'CI/CD Pipelines']"
single_hop_synonym,Backend (FinTech) #2,Microservices,Microservices,"['Backend (FinTech) #2', 'require>', 'Microservices']"
