source,target,value
Travel Company 1,CN101: Introduction to Computer Programming,1
Travel Company 1,CN230: Database Systems,1
Travel Company 1,CN311: Operating Systems,1
Travel Company 1,CN321: Data Communication and Computer Networks I,1
Travel Company 1,SF211: Object-oriented programming,1
Travel Company 1,SF220: Introduction to Software Engineering,1
Travel Company 1,SF222: Software Engineering Models and Analysis,1
Travel Company 1,SF231: Data Structures and Algorithms,1
Travel Company 1,SF331: Software Architecture and Design,1
Travel Company 1,SF332: Software Testing and Quality Assurance,1
Travel Company 1,SF334: Web Application Development,1
Travel Company 1,SF340: Software Configuration Management,1
Travel Company 1,SF351: Web Application Security,1
Tech/Software Company 1,CN101: Introduction to Computer Programming,1
Tech/Software Company 1,CN210: Fundamental of Computer Architecture,1
Tech/Software Company 1,CN230: Database Systems,1
Tech/Software Company 1,CN311: Operating Systems,1
Tech/Software Company 1,SF211: Object-oriented programming,1
Tech/Software Company 1,SF220: Introduction to Software Engineering,1
Tech/Software Company 1,SF222: Software Engineering Models and Analysis,1
Tech/Software Company 1,SF231: Data Structures and Algorithms,1
Tech/Software Company 1,SF330: Software Requirements and Specification,1
Tech/Software Company 1,SF332: Software Testing and Quality Assurance,1
Tech/Software Company 1,SF333: Mobile Device Application Development,1
Tech/Software Company 1,SF340: Software Configuration Management,1
Tech/Software Company 1,SF351: Web Application Security,1
Tech/Software Company 2,CN101: Introduction to Computer Programming,1
Tech/Software Company 2,CN204: Probability Theory and Random Processes,1
Tech/Software Company 2,CN240: Data Science for Signal Processing,1
Tech/Software Company 2,CN340: Machine Learning,1
Tech/Software Company 2,CN341: Deep Learning,1
Tech/Software Company 2,MA111: Fundamentals of Calculus,1
Tech/Software Company 2,SF230: Linear Algebra and Numerical Methods,1
Tech/Software Company 2,SF231: Data Structures and Algorithms,1
Tech/Software Company 2,SF250: Probability Theory and Statistics,1
Tech/Software Company 2,SF251: Introduction to Data Science,1
Tech/Software Company 2,SF332: Software Testing and Quality Assurance,1
Tech/Software Company 13,CN101: Introduction to Computer Programming,1
Tech/Software Company 13,CN230: Database Systems,1
Tech/Software Company 13,CN321: Data Communication and Computer Networks I,1
Tech/Software Company 13,SF211: Object-oriented programming,1
Tech/Software Company 13,SF220: Introduction to Software Engineering,1
Tech/Software Company 13,SF222: Software Engineering Models and Analysis,1
Tech/Software Company 13,SF231: Data Structures and Algorithms,1
Tech/Software Company 13,SF331: Software Architecture and Design,1
Tech/Software Company 13,SF334: Web Application Development,1
Tech/Software Company 13,SF340: Software Configuration Management,1
Tech/Software Company 13,SF351: Web Application Security,1
Tech/Software Company 3,CN101: Introduction to Computer Programming,1
Tech/Software Company 3,SF211: Object-oriented programming,1
Tech/Software Company 3,SF220: Introduction to Software Engineering,1
Tech/Software Company 3,SF222: Software Engineering Models and Analysis,1
Tech/Software Company 3,SF231: Data Structures and Algorithms,1
Tech/Software Company 3,SF333: Mobile Device Application Development,1
Tech/Software Company 3,SF334: Web Application Development,1
Consulting Company 1,CN101: Introduction to Computer Programming,1
Consulting Company 1,CN230: Database Systems,1
Consulting Company 1,SF220: Introduction to Software Engineering,1
Consulting Company 1,SF222: Software Engineering Models and Analysis,1
Consulting Company 1,SF231: Data Structures and Algorithms,1
Consulting Company 1,SF330: Software Requirements and Specification,1
Consulting Company 1,SF331: Software Architecture and Design,1
Consulting Company 1,SF332: Software Testing and Quality Assurance,1
Consulting Company 1,SF333: Mobile Device Application Development,1
Consulting Company 1,SF334: Web Application Development,1
Consulting Company 1,SF340: Software Configuration Management,1
Consulting Company 1,SF351: Web Application Security,1
Manufacturing/Industrial Company 1,CN101: Introduction to Computer Programming,1
Manufacturing/Industrial Company 1,SF211: Object-oriented programming,1
Manufacturing/Industrial Company 1,SF220: Introduction to Software Engineering,1
Manufacturing/Industrial Company 1,SF222: Software Engineering Models and Analysis,1
Manufacturing/Industrial Company 1,SF231: Data Structures and Algorithms,1
Manufacturing/Industrial Company 1,SF330: Software Requirements and Specification,1
Manufacturing/Industrial Company 1,SF331: Software Architecture and Design,1
Manufacturing/Industrial Company 1,SF334: Web Application Development,1
Manufacturing/Industrial Company 1,SF340: Software Configuration Management,1
Tech/Software Company 4,CN101: Introduction to Computer Programming,1
Tech/Software Company 4,CN230: Database Systems,1
Tech/Software Company 4,SF211: Object-oriented programming,1
Tech/Software Company 4,SF220: Introduction to Software Engineering,1
Tech/Software Company 4,SF222: Software Engineering Models and Analysis,1
Tech/Software Company 4,SF231: Data Structures and Algorithms,1
Tech/Software Company 4,SF331: Software Architecture and Design,1
Tech/Software Company 4,SF333: Mobile Device Application Development,1
Tech/Software Company 4,SF334: Web Application Development,1
Financial Services/Banking Company 1,CN101: Introduction to Computer Programming,1
Financial Services/Banking Company 1,CN230: Database Systems,1
Financial Services/Banking Company 1,CN321: Data Communication and Computer Networks I,1
Financial Services/Banking Company 1,CN416: Cloud Computing,1
Financial Services/Banking Company 1,SF211: Object-oriented programming,1
Financial Services/Banking Company 1,SF220: Introduction to Software Engineering,1
Financial Services/Banking Company 1,SF222: Software Engineering Models and Analysis,1
Financial Services/Banking Company 1,SF231: Data Structures and Algorithms,1
Financial Services/Banking Company 1,SF331: Software Architecture and Design,1
Financial Services/Banking Company 1,SF332: Software Testing and Quality Assurance,1
Financial Services/Banking Company 1,SF334: Web Application Development,1
Financial Services/Banking Company 1,SF340: Software Configuration Management,1
Financial Services/Banking Company 1,SF351: Web Application Security,1
Tech/Software Company 5,CN101: Introduction to Computer Programming,1
Tech/Software Company 5,SF211: Object-oriented programming,1
Tech/Software Company 5,SF220: Introduction to Software Engineering,1
Tech/Software Company 5,SF222: Software Engineering Models and Analysis,1
Tech/Software Company 5,SF231: Data Structures and Algorithms,1
Tech/Software Company 5,SF331: Software Architecture and Design,1
Tech/Software Company 5,SF333: Mobile Device Application Development,1
Tech/Software Company 5,SF334: Web Application Development,1
Tech/Software Company 5,SF340: Software Configuration Management,1
Financial Services/Banking Company 2,CN101: Introduction to Computer Programming,1
Financial Services/Banking Company 2,CN210: Fundamental of Computer Architecture,1
Financial Services/Banking Company 2,CN230: Database Systems,1
