,source,target,value
0,Travel Company 1,CN101: Introduction to Computer Programming,1
1,Travel Company 1,CN230: Database Systems,1
2,Travel Company 1,CN311: Operating Systems,1
3,Travel Company 1,CN321: Data Communication and Computer Networks I,1
4,Travel Company 1,SF211: Object-oriented programming,1
5,Travel Company 1,SF220: Introduction to Software Engineering,1
6,Travel Company 1,SF222: Software Engineering Models and Analysis,1
7,Travel Company 1,SF231: Data Structures and Algorithms,1
8,Travel Company 1,SF331: Software Architecture and Design,1
9,Travel Company 1,SF332: Software Testing and Quality Assurance,1
10,Travel Company 1,SF334: Web Application Development,1
11,Travel Company 1,SF340: Software Configuration Management,1
12,Travel Company 1,SF351: Web Application Security,1
13,Tech/Software Company 1,CN101: Introduction to Computer Programming,1
14,Tech/Software Company 1,CN210: Fundamental of Computer Architecture,1
15,Tech/Software Company 1,CN230: Database Systems,1
16,Tech/Software Company 1,CN311: Operating Systems,1
17,Tech/Software Company 1,SF211: Object-oriented programming,1
18,Tech/Software Company 1,SF220: Introduction to Software Engineering,1
19,Tech/Software Company 1,SF222: Software Engineering Models and Analysis,1
20,Tech/Software Company 1,SF231: Data Structures and Algorithms,1
21,Tech/Software Company 1,SF330: Software Requirements and Specification,1
22,Tech/Software Company 1,SF332: Software Testing and Quality Assurance,1
23,Tech/Software Company 1,SF333: Mobile Device Application Development,1
24,Tech/Software Company 1,SF340: Software Configuration Management,1
25,Tech/Software Company 1,SF351: Web Application Security,1
26,Tech/Software Company 2,CN101: Introduction to Computer Programming,1
27,Tech/Software Company 2,CN204: Probability Theory and Random Processes,1
28,Tech/Software Company 2,CN240: Data Science for Signal Processing,1
29,Tech/Software Company 2,CN340: Machine Learning,1
30,Tech/Software Company 2,CN341: Deep Learning,1
31,Tech/Software Company 2,MA111: Fundamentals of Calculus,1
32,Tech/Software Company 2,SF230: Linear Algebra and Numerical Methods,1
33,Tech/Software Company 2,SF231: Data Structures and Algorithms,1
34,Tech/Software Company 2,SF250: Probability Theory and Statistics,1
35,Tech/Software Company 2,SF251: Introduction to Data Science,1
36,Tech/Software Company 2,SF332: Software Testing and Quality Assurance,1
37,Tech/Software Company 13,CN101: Introduction to Computer Programming,1
38,Tech/Software Company 13,CN230: Database Systems,1
39,Tech/Software Company 13,CN321: Data Communication and Computer Networks I,1
40,Tech/Software Company 13,SF211: Object-oriented programming,1
41,Tech/Software Company 13,SF220: Introduction to Software Engineering,1
42,Tech/Software Company 13,SF222: Software Engineering Models and Analysis,1
43,Tech/Software Company 13,SF231: Data Structures and Algorithms,1
44,Tech/Software Company 13,SF331: Software Architecture and Design,1
45,Tech/Software Company 13,SF334: Web Application Development,1
46,Tech/Software Company 13,SF340: Software Configuration Management,1
47,Tech/Software Company 13,SF351: Web Application Security,1
48,Tech/Software Company 3,CN101: Introduction to Computer Programming,1
49,Tech/Software Company 3,SF211: Object-oriented programming,1
50,Tech/Software Company 3,SF220: Introduction to Software Engineering,1
51,Tech/Software Company 3,SF222: Software Engineering Models and Analysis,1
52,Tech/Software Company 3,SF231: Data Structures and Algorithms,1
53,Tech/Software Company 3,SF333: Mobile Device Application Development,1
54,Tech/Software Company 3,SF334: Web Application Development,1
55,Consulting Company 1,CN101: Introduction to Computer Programming,1
56,Consulting Company 1,CN230: Database Systems,1
57,Consulting Company 1,SF220: Introduction to Software Engineering,1
58,Consulting Company 1,SF222: Software Engineering Models and Analysis,1
59,Consulting Company 1,SF231: Data Structures and Algorithms,1
60,Consulting Company 1,SF330: Software Requirements and Specification,1
61,Consulting Company 1,SF331: Software Architecture and Design,1
62,Consulting Company 1,SF332: Software Testing and Quality Assurance,1
63,Consulting Company 1,SF333: Mobile Device Application Development,1
64,Consulting Company 1,SF334: Web Application Development,1
65,Consulting Company 1,SF340: Software Configuration Management,1
66,Consulting Company 1,SF351: Web Application Security,1
67,Manufacturing/Industrial Company 1,CN101: Introduction to Computer Programming,1
68,Manufacturing/Industrial Company 1,SF211: Object-oriented programming,1
69,Manufacturing/Industrial Company 1,SF220: Introduction to Software Engineering,1
70,Manufacturing/Industrial Company 1,SF222: Software Engineering Models and Analysis,1
71,Manufacturing/Industrial Company 1,SF231: Data Structures and Algorithms,1
72,Manufacturing/Industrial Company 1,SF330: Software Requirements and Specification,1
73,Manufacturing/Industrial Company 1,SF331: Software Architecture and Design,1
74,Manufacturing/Industrial Company 1,SF334: Web Application Development,1
75,Manufacturing/Industrial Company 1,SF340: Software Configuration Management,1
76,Tech/Software Company 4,CN101: Introduction to Computer Programming,1
77,Tech/Software Company 4,CN230: Database Systems,1
78,Tech/Software Company 4,SF211: Object-oriented programming,1
79,Tech/Software Company 4,SF220: Introduction to Software Engineering,1
80,Tech/Software Company 4,SF222: Software Engineering Models and Analysis,1
81,Tech/Software Company 4,SF231: Data Structures and Algorithms,1
82,Tech/Software Company 4,SF331: Software Architecture and Design,1
83,Tech/Software Company 4,SF333: Mobile Device Application Development,1
84,Tech/Software Company 4,SF334: Web Application Development,1
85,Financial Services/Banking Company 1,CN101: Introduction to Computer Programming,1
86,Financial Services/Banking Company 1,CN230: Database Systems,1
87,Financial Services/Banking Company 1,CN321: Data Communication and Computer Networks I,1
88,Financial Services/Banking Company 1,CN416: Cloud Computing,1
89,Financial Services/Banking Company 1,SF211: Object-oriented programming,1
90,Financial Services/Banking Company 1,SF220: Introduction to Software Engineering,1
91,Financial Services/Banking Company 1,SF222: Software Engineering Models and Analysis,1
92,Financial Services/Banking Company 1,SF231: Data Structures and Algorithms,1
